occupancy%,day,time
20,Monday,7AM
18,Monday,7AM
22,Monday,7AM
24,Monday,7AM
20,Monday,7AM
40,Monday,8AM
38,Monday,8AM
42,Monday,8AM
44,Monday,8AM
42,Monday,8AM
70,Monday,9AM
72,Monday,9AM
68,Monday,9AM
74,Monday,9AM
70,Monday,9AM
90,Monday,10AM
92,Monday,10AM
88,Monday,10AM
94,Monday,10AM
96,Monday,10AM
94,Monday,11AM
98,Monday,11AM
96,Monday,11AM
100,Monday,11AM
92,Monday,11AM
100,Monday,12PM
98,Monday,12PM
96,Monday,12PM
96,Monday,12PM
94,Monday,12PM
74,Monday,1PM
76,Monday,1PM
78,Monday,1PM
80,Monday,1PM
82,Monday,1PM
66,Monday,2PM
70,Monday,2PM
64,Monday,2PM
68,Monday,2PM
62,Monday,2PM
58,Monday,3PM
60,Monday,3PM
56,Monday,3PM
52,Monday,3PM
54,Monday,3PM
38,Monday,4PM
40,Monday,4PM
34,Monday,4PM
32,Monday,4PM
36,Monday,4PM
28,Monday,5PM
32,Monday,5PM
34,Monday,5PM
30,Monday,5PM
26,Monday,5PM
28,Monday,6PM
22,Monday,6PM
20,Monday,6PM
18,Monday,6PM
20,Monday,6PM
20,Tuesday,7AM
18,Tuesday,7AM
22,Tuesday,7AM
24,Tuesday,7AM
20,Tuesday,7AM
40,Tuesday,8AM
38,Tuesday,8AM
42,Tuesday,8AM
44,Tuesday,8AM
42,Tuesday,8AM
70,Tuesday,9AM
72,Tuesday,9AM
68,Tuesday,9AM
74,Tuesday,9AM
70,Tuesday,9AM
90,Tuesday,10AM
92,Tuesday,10AM
88,Tuesday,10AM
94,Tuesday,10AM
96,Tuesday,10AM
94,Tuesday,11AM
98,Tuesday,11AM
96,Tuesday,11AM
100,Tuesday,11AM
92,Tuesday,11AM
100,Tuesday,12PM
98,Tuesday,12PM
96,Tuesday,12PM
96,Tuesday,12PM
94,Tuesday,12PM
74,Tuesday,1PM
76,Tuesday,1PM
78,Tuesday,1PM
80,Tuesday,1PM
82,Tuesday,1PM
66,Tuesday,2PM
70,Tuesday,2PM
64,Tuesday,2PM
68,Tuesday,2PM
62,Tuesday,2PM
58,Tuesday,3PM
60,Tuesday,3PM
56,Tuesday,3PM
52,Tuesday,3PM
54,Tuesday,3PM
38,Tuesday,4PM
40,Tuesday,4PM
34,Tuesday,4PM
32,Tuesday,4PM
